date,open,high,low,close,volume
12/2/1980,0.0567,0.058,0.0567,0.0567,100710400
12/3/1980,0.0561,0.0561,0.0555,0.0555,25177600
12/4/1980,0.0573,0.058,0.0573,0.0573,22694400
12/5/1980,0.0555,0.0555,0.0543,0.0543,7590400
12/8/1980,0.0518,0.0518,0.0512,0.0512,5414400
12/9/1980,0.0512,0.0512,0.05,0.05,5824000
12/10/1980,0.0487,0.0487,0.0469,0.0469,5875200
12/11/1980,0.0456,0.0456,0.0444,0.0444,5440000
12/12/1980,0.0463,0.0469,0.0463,0.0463,8153600
12/15/1980,0.0481,0.0487,0.0481,0.0481,6643200
12/16/1980,0.0481,0.0481,0.0469,0.0469,6630400
12/17/1980,0.0463,0.0463,0.045,0.045,4672000
12/18/1980,0.0463,0.0475,0.0463,0.0463,11251200
12/19/1980,0.0481,0.0487,0.0481,0.0481,10035200
12/22/1980,0.0481,0.0493,0.0481,0.0481,1856000
12/23/1980,0.0493,0.0506,0.0493,0.0493,5696000
12/24/1980,0.0512,0.0524,0.0512,0.0512,2444800
12/26/1980,0.0518,0.053,0.0518,0.0518,1459200
12/29/1980,0.0518,0.0524,0.0512,0.0512,1740800
12/30/1980,0.0524,0.053,0.0524,0.0524,4364800
12/31/1980,0.0524,0.053,0.0518,0.0518,2918400
1/2/1981,0.053,0.0543,0.053,0.053,1574400
1/5/1981,0.0552,0.0561,0.0552,0.0552,5824000
1/6/1981,0.0555,0.0561,0.0555,0.0555,6950400
1/7/1981,0.053,0.053,0.0524,0.0524,8806400
1/8/1981,0.0518,0.0518,0.0512,0.0512,3302400
1/9/1981,0.0512,0.0518,0.0506,0.0506,2470400
1/12/1981,0.0512,0.0524,0.0512,0.0512,3353600
1/13/1981,0.0524,0.0536,0.0524,0.0524,4467200
1/14/1981,0.0543,0.0555,0.0543,0.0543,7923200
1/15/1981,0.0543,0.0549,0.0543,0.0543,2521600
1/16/1981,0.0543,0.0555,0.0543,0.0543,3328000
1/19/1981,0.0543,0.0549,0.0543,0.0543,4032000
1/20/1981,0.0536,0.0536,0.0524,0.0524,3507200
1/21/1981,0.0524,0.053,0.0518,0.0518,985600
1/22/1981,0.0512,0.0512,0.0493,0.0493,1318400
1/23/1981,0.0506,0.0518,0.0506,0.0506,1382400
1/26/1981,0.0506,0.0506,0.0493,0.0493,1126400
1/27/1981,0.0493,0.05,0.0493,0.0493,857600
1/28/1981,0.0493,0.05,0.0493,0.0493,1164800
1/29/1981,0.0493,0.0506,0.0493,0.0493,2521600
1/30/1981,0.0487,0.0487,0.0475,0.0475,832000
2/2/1981,0.0475,0.0475,0.0463,0.0463,2060800
2/3/1981,0.0463,0.0475,0.0463,0.0463,1139200
2/4/1981,0.0463,0.0475,0.0463,0.0463,2060800
2/5/1981,0.0475,0.0481,0.0475,0.0475,3878400
2/6/1981,0.0475,0.0487,0.0475,0.0475,1216000
2/9/1981,0.0475,0.0481,0.0463,0.0463,1139200
2/10/1981,0.0463,0.0475,0.0463,0.0463,2176000
2/11/1981,0.0463,0.0469,0.045,0.045,1254400
2/12/1981,0.045,0.0469,0.045,0.045,217600
2/13/1981,0.045,0.0463,0.0444,0.0444,921600
2/17/1981,0.0444,0.0456,0.0444,0.0444,806400
2/18/1981,0.0456,0.0469,0.0456,0.0456,2201600
2/19/1981,0.0469,0.0481,0.0469,0.0469,1881600
2/20/1981,0.0469,0.0481,0.0463,0.0463,1536000
2/23/1981,0.0463,0.0475,0.0463,0.0463,537600
2/24/1981,0.0469,0.0487,0.0469,0.0469,2009600
2/25/1981,0.0469,0.0481,0.0469,0.0469,537600
2/26/1981,0.0475,0.0487,0.0475,0.0475,844800
2/27/1981,0.0475,0.0493,0.0475,0.0475,755200
3/2/1981,0.0475,0.0493,0.0475,0.0475,896000
3/3/1981,0.0487,0.05,0.0487,0.0487,3801600
3/4/1981,0.0487,0.0493,0.0487,0.0487,2508800
3/5/1981,0.0487,0.0493,0.0481,0.0481,691200
3/6/1981,0.0481,0.0487,0.0475,0.0475,1638400
3/9/1981,0.0475,0.0481,0.0469,0.0469,972800
3/10/1981,0.0444,0.0444,0.0432,0.0432,1433600
3/11/1981,0.0438,0.045,0.0438,0.0438,1830400
3/12/1981,0.0444,0.0456,0.0444,0.0444,3904000
3/13/1981,0.045,0.0463,0.045,0.045,729600
3/16/1981,0.045,0.0456,0.0438,0.0438,921600
3/17/1981,0.0438,0.0444,0.0438,0.0438,832000
3/18/1981,0.0438,0.0444,0.0432,0.0432,2022400
3/19/1981,0.0432,0.0438,0.0425,0.0425,3558400
3/20/1981,0.0432,0.0438,0.0432,0.0432,1728000
3/23/1981,0.0432,0.0444,0.0432,0.0432,2688000
3/24/1981,0.0438,0.0444,0.0438,0.0438,3264000
3/25/1981,0.0438,0.0444,0.0432,0.0432,1241600
3/26/1981,0.0438,0.045,0.0438,0.0438,3379200
3/27/1981,0.0444,0.045,0.0444,0.0444,1395200
3/30/1981,0.0456,0.0469,0.0456,0.0456,3136000
3/31/1981,0.0463,0.0481,0.0463,0.0463,3955200
4/1/1981,0.0493,0.0506,0.0493,0.0493,3046400
4/2/1981,0.0493,0.0506,0.0493,0.0493,4915200
4/3/1981,0.0506,0.0512,0.0506,0.0506,1369600
4/6/1981,0.0506,0.0506,0.0493,0.0493,2752000
4/7/1981,0.0493,0.05,0.0493,0.0493,1433600
4/8/1981,0.0493,0.0506,0.0493,0.0493,1612800
4/9/1981,0.0536,0.0549,0.0536,0.0536,5657600
4/10/1981,0.0536,0.0543,0.0536,0.0536,4864000
4/13/1981,0.053,0.053,0.0518,0.0518,8230400
4/14/1981,0.0518,0.0518,0.0506,0.0506,3225600
4/15/1981,0.0543,0.0549,0.0543,0.0543,3276800
4/16/1981,0.0549,0.0561,0.0549,0.0549,10444800
4/20/1981,0.0549,0.0561,0.0549,0.0549,8179200
4/21/1981,0.0549,0.0561,0.0549,0.0549,2419200
4/22/1981,0.0555,0.0567,0.0555,0.0555,4454400
4/23/1981,0.0555,0.0561,0.0555,0.0555,5734400
4/24/1981,0.0536,0.0536,0.0524,0.0524,2496000
4/27/1981,0.0524,0.0536,0.0524,0.0524,2112000
4/28/1981,0.0524,0.0536,0.0524,0.0524,1523200
4/29/1981,0.0524,0.0524,0.0518,0.0518,1280000
4/30/1981,0.0518,0.0524,0.0512,0.0512,908800
5/1/1981,0.0512,0.0518,0.0512,0.0512,601600
5/4/1981,0.0512,0.0518,0.0506,0.0506,3315200
5/5/1981,0.0506,0.0512,0.05,0.05,1164800
5/6/1981,0.05,0.0512,0.05,0.05,678400
5/7/1981,0.0506,0.0524,0.0506,0.0506,537600
5/8/1981,0.0506,0.0518,0.0506,0.0506,435200
5/11/1981,0.0506,0.0506,0.05,0.05,1344000
5/12/1981,0.0512,0.053,0.0512,0.0512,1779200
5/13/1981,0.0518,0.053,0.0518,0.0518,1587200
5/14/1981,0.0518,0.0524,0.0506,0.0506,768000
5/15/1981,0.0506,0.0512,0.05,0.05,921600
5/18/1981,0.05,0.0518,0.05,0.05,3596800
5/19/1981,0.05,0.0512,0.05,0.05,716800
5/20/1981,0.05,0.0518,0.05,0.05,1664000
5/21/1981,0.0506,0.0524,0.0506,0.0506,1843200
5/22/1981,0.0506,0.0524,0.0506,0.0506,588800
5/26/1981,0.0518,0.0536,0.0518,0.0518,4812800
5/27/1981,0.0536,0.0549,0.0536,0.0536,3942400
5/28/1981,0.0561,0.0573,0.0561,0.0561,9100800
5/29/1981,0.0561,0.058,0.0561,0.0561,3699200
6/1/1981,0.058,0.0592,0.058,0.058,3302400
6/2/1981,0.0586,0.0598,0.0586,0.0586,5849600
6/3/1981,0.0586,0.0598,0.058,0.058,7692800
6/4/1981,0.058,0.0598,0.058,0.058,2905600
6/5/1981,0.0586,0.0598,0.0586,0.0586,6080000
6/8/1981,0.0586,0.0592,0.058,0.058,1856000
6/9/1981,0.058,0.0592,0.058,0.058,1164800
6/10/1981,0.0586,0.0604,0.0586,0.0586,2521600
6/11/1981,0.0592,0.0611,0.0592,0.0592,3904000
6/12/1981,0.0598,0.0611,0.0598,0.0598,8691200
6/15/1981,0.0604,0.0611,0.0604,0.0604,4108800
6/16/1981,0.0611,0.0617,0.0611,0.0611,16704000
6/17/1981,0.0611,0.0611,0.0598,0.0598,4070400
6/18/1981,0.0573,0.0573,0.0567,0.0567,6924800
6/19/1981,0.0573,0.0586,0.0573,0.0573,2329600
6/22/1981,0.0573,0.0586,0.0573,0.0573,1766400
6/23/1981,0.0604,0.0611,0.0604,0.0604,5337600
6/24/1981,0.0598,0.0598,0.0592,0.0592,1561600
6/25/1981,0.0592,0.0598,0.0586,0.0586,3635200
6/26/1981,0.0586,0.0598,0.0586,0.0586,2944000
6/29/1981,0.0586,0.0592,0.0586,0.0586,1088000
6/30/1981,0.0586,0.0592,0.0573,0.0573,1024000
7/1/1981,0.058,0.0586,0.058,0.058,1728000
7/2/1981,0.0586,0.0598,0.0586,0.0586,1139200
7/6/1981,0.0586,0.0586,0.0567,0.0567,1356800
7/7/1981,0.0549,0.0549,0.053,0.053,1459200
7/8/1981,0.053,0.0536,0.0524,0.0524,614400
7/9/1981,0.053,0.0536,0.053,0.053,1420800
7/10/1981,0.053,0.0543,0.0524,0.0524,793600
7/13/1981,0.0536,0.0549,0.0536,0.0536,1843200
7/14/1981,0.0536,0.0549,0.0536,0.0536,896000
7/15/1981,0.0549,0.0561,0.0549,0.0549,537600
7/16/1981,0.0549,0.0561,0.0549,0.0549,448000
7/17/1981,0.0549,0.0561,0.0549,0.0549,192000
7/20/1981,0.0536,0.0536,0.0524,0.0524,3404800
7/21/1981,0.0524,0.0524,0.0512,0.0512,857600
7/22/1981,0.0512,0.0518,0.0512,0.0512,1152000
7/23/1981,0.0524,0.0536,0.0524,0.0524,2560000
7/24/1981,0.0543,0.0549,0.0543,0.0543,2035200
7/27/1981,0.0543,0.0549,0.0536,0.0536,1433600
7/28/1981,0.0543,0.0555,0.0543,0.0543,780800
7/29/1981,0.0543,0.0543,0.0536,0.0536,1894400
7/30/1981,0.0543,0.0549,0.0543,0.0543,2470400
7/31/1981,0.0543,0.0549,0.0536,0.0536,524800
8/3/1981,0.053,0.053,0.0518,0.0518,1420800
8/4/1981,0.0518,0.053,0.0518,0.0518,1100800
8/5/1981,0.0512,0.0512,0.05,0.05,2163200
